name,dept,area,count,adjustedcount,year
Debabrata Das,IIIT Bangalore,WCNC Workshops,1,0.0,2020
Siddhartha Chaudhuri,IIT Bombay,WCNC,1,0.0,2005
Kameswari Chebrolu,IIT Bombay,WCNC,1,0.0,2002
Chetan D. Parikh,IIIT Bangalore,ISED,1,0.0,2019
Subhajit Sen,IIIT Bangalore,ISED,1,0.0,2019
Ansuman Banerjee,ISI Kolkata,ISED,1,0.0,2013
Ansuman Banerjee,ISI Kolkata,ISED,3,0.0,2017
Pushpak Bhattacharya,IIT Bombay,ISED,1,0.0,2016
Ansuman Banerjee,ISI Kolkata,ISED,1,0.0,2012
Susmita Sur-Kolay,ISI Kolkata,ISED,1,0.0,2013
Ganesh Ramakrishnan,IIT Bombay,SMIR@SIGIR,1,0.0,2014
Soumen Chakrabarti,IIT Bombay,SIGIR,1,0.0,2005
Debapriyo Majumdar,ISI Kolkata,SIGIR,1,0.0,2011
Mandar Mitra,ISI Kolkata,SIGIR,1,0.0,1997
Abir De,IIT Bombay,SIGIR,1,0.0,2020
Soumen Chakrabarti,IIT Bombay,SIGIR,1,0.0,2020
Manish Gupta 0001,IIIT Bangalore,KG4IR@SIGIR,1,0.0,2017
Manish Gupta 0001,IIIT Bangalore,ERD@SIGIR,1,0.0,2014
Mandar Mitra,ISI Kolkata,SIGIR,1,0.0,2020
Ganesh Ramakrishnan,IIT Bombay,ERD@SIGIR,1,0.0,2014
Manish Gupta 0001,IIIT Bangalore,SIGIR,2,0.0,2015
Soumen Chakrabarti,IIT Bombay,SIGIR,1,0.0,2001
Pushpak Bhattacharya,IIT Bombay,SIGIR,2,0.0,2022
Shirish K. Shevade,IISc Bangalore,SIGIR,1,0.0,2021
Manish Gupta 0001,IIIT Bangalore,SIGIR,2,0.0,2014
Soumen Chakrabarti,IIT Bombay,SIGIR,1,0.0,2009
Ganesh Ramakrishnan,IIT Bombay,SIGIR,1,0.0,2009
Mandar Mitra,ISI Kolkata,SIGIR,1,0.0,2023
Mandar Mitra,ISI Kolkata,SIGIR,1,0.0,1996
Debapriyo Majumdar,ISI Kolkata,SIGIR,1,0.0,2005
Pushpak Bhattacharya,IIT Bombay,SIGIR,1,0.0,2010
Krithi Ramamritham,IIT Bombay,SIGIR,1,0.0,1996
Mandar Mitra,ISI Kolkata,SIGIR,1,0.0,2016
Preethi Jyothi,IIT Bombay,SIGIR,1,0.0,2021
Ganesh Ramakrishnan,IIT Bombay,SIGIR,1,0.0,2021
Soumen Chakrabarti,IIT Bombay,SIGIR,1,0.0,2021
Soumen Chakrabarti,IIT Bombay,SIGIR,2,0.0,2018
Manish Gupta 0001,IIIT Bangalore,SIGIR,1,0.0,2016
Soumen Chakrabarti,IIT Bombay,SIGIR,1,0.0,2022
Mandar Mitra,ISI Kolkata,SIGIR,1,0.0,2015
Mandar Mitra,ISI Kolkata,SIGIR,1,0.0,2019
Aditya Kanade,IISc Bangalore,SIGIR,1,0.0,2011
Mandar Mitra,ISI Kolkata,SIGIR,1,0.0,1998
Utpal Garain,ISI Kolkata,SIGIR,1,0.0,2008
Mandar Mitra,ISI Kolkata,SIGIR,1,0.0,2008
R. Padmavathy,National Institute of Technology Warangal,ARTCom,1,0.0,2009
Kanchan Manna,BITS Pilani-Goa,ARTCom,1,0.0,2009
Jagtap Pushpak,IISc Bangalore,ADHS,1,0.0,2018
Shishir Kolathaya,IISc Bangalore,ADHS,1,0.0,2015
Shrisha Rao 0001,IIIT Bangalore,SoSE,1,0.0,2012
Kuntal Ghosh,ISI Kolkata,BioADIT,1,0.0,2006
Kamal Lodaya,IMSc,WG,1,0.0,2013
Saket Saurabh 0001,IMSc,WG,1,0.0,2013
Geevarghese Philip,CMI,WG,1,0.0,2010
Kamal Lodaya,IMSc,WG,1,0.0,2010
Saket Saurabh 0001,IMSc,WG,1,0.0,2009
Kamal Lodaya,IMSc,WG,1,0.0,2016
Saket Saurabh 0001,IMSc,WG,1,0.0,2021
Prajakta Nimbhorkar,CMI,WG,1,0.0,2019
L. Sunil Chandran,IISc Bangalore,WG,1,0.0,2014
Prajakta Nimbhorkar,CMI,WG,1,0.0,2023
Arijit Bishnu,ISI Kolkata,WG,1,0.0,2020
Hariharan Narayanan,Tata Inst. of Fundamental Research,WG,1,0.0,2018
Arijit Ghosh,ISI Kolkata,WG,1,0.0,2016
Prajakta Nimbhorkar,CMI,WG,1,0.0,2021
Geevarghese Philip,CMI,WG,1,0.0,2021
Kamal Lodaya,IMSc,WG,1,0.0,2020
Sandip Das 0001,ISI Kolkata,WG,1,0.0,2019
Kamal Lodaya,IMSc,WG,1,0.0,2012
Saket Saurabh 0001,IMSc,WG,1,0.0,2012
L. Sunil Chandran,IISc Bangalore,WG,1,0.0,2022
Saket Saurabh 0001,IMSc,WG,1,0.0,2011
Kamal Lodaya,IMSc,WG,1,0.0,2022
Vinay J. Ribeiro,IIT Bombay,Blockchain,1,0.0,2021
Sujit Das,National Institute of Technology Warangal,CIFEr,2,0.0,2012
Kamal Lodaya,IMSc,CSL,1,0.0,2018
Paritosh K. Pandya,Tata Inst. of Fundamental Research,CSL,1,0.0,2018
K. Narayan Kumar,CMI,CSL-LICS,1,0.0,2014
Meena Mahajan,IMSc,CSL,1,0.0,2017
Paritosh K. Pandya,Tata Inst. of Fundamental Research,CSL,1,0.0,1995
M. Praveen,CMI,CSL-LICS,1,0.0,2014
Rushikesh Joshi,IIT Bombay,SCAM,1,0.0,2013
Virendra Singh,IIT Bombay,VTS,1,0.0,2011
Virendra Singh,IIT Bombay,VTS,1,0.0,2012
Virendra Singh,IIT Bombay,VTS,1,0.0,2022
Krithi Ramamritham,IIT Bombay,DEXA Workshops,1,0.0,2003
Amitabha Sanyal,IIT Bombay,DEXA Workshop,1,0.0,1998
Sravan Danda,BITS Pilani-Goa,DEXA Workshops,1,0.0,2021
Snehanshu Saha,BITS Pilani-Goa,DEXA Workshops,1,0.0,2021
Durvasula V. L. N. Somayajulu,National Institute of Technology Warangal,DEXA Workshop,1,0.0,1998
U. Pal 0001,ISI Kolkata,MMM (2),1,0.0,2019
Pushpak Bhattacharya,IIT Bombay,INLG,1,0.0,2021
Manish Gupta 0001,IIIT Bangalore,INLG,1,0.0,2023
Utpal Garain,ISI Kolkata,INLG,1,0.0,2021
A. Baskar,BITS Pilani-Goa,WCI,2,0.0,2015
Snehanshu Saha,BITS Pilani-Goa,WCI,2,0.0,2015
Sanjay K. Sahay,BITS Pilani-Goa,WCI,1,0.0,2015
Sriram G. Sanjeevi,National Institute of Technology Warangal,WCI,1,0.0,2015
Shishir Kolathaya,IISc Bangalore,ACOMP,1,0.0,2021
Ashish Ghosh,ISI Kolkata,ICTCS,1,0.0,2016
Ansuman Banerjee,ISI Kolkata,ICACS,1,0.0,2023
Hariharan Narayanan,Tata Inst. of Fundamental Research,ICNC,1,0.0,2020
Amitabha Sanyal,IIT Bombay,ICNC,1,0.0,2016
Uday Bondhugula,IISc Bangalore,POPL,1,0.0,2011
Amitabha Sanyal,IIT Bombay,POPL,1,0.0,2015
Amitabha Sanyal,IIT Bombay,POPL,1,0.0,1993
Uday P. Khedker,IIT Bombay,POPL,1,0.0,1993
Uday Bondhugula,IISc Bangalore,POPL,1,0.0,2016
Aditya Kanade,IISc Bangalore,POPL,1,0.0,1989
Raghavan Komondoor,IISc Bangalore,POPL,1,0.0,2000
Amitabha Sanyal,IIT Bombay,POPL,1,0.0,2008
Amitabha Sanyal,IIT Bombay,POPL,1,0.0,2011
Virendra Singh,IIT Bombay,ISPASS,1,0.0,2020
Biswa,IIT Bombay,ISPASS,1,0.0,2022
Arkaprava Basu,IISc Bangalore,ISPASS,1,0.0,2016
Jagtap Pushpak,IISc Bangalore,CDC,1,0.0,2016
Shishir Kolathaya,IISc Bangalore,CDC,1,0.0,2016
Ashish Choudhary,IIIT Bangalore,CDC,1,0.0,2006
Gugan Thoppe,IISc Bangalore,CDC,1,0.0,2023
Shalabh Bhatnagar,IISc Bangalore,CDC,2,0.0,2006
Shalabh Bhatnagar,IISc Bangalore,CDC,2,0.0,2014
Sandeep Juneja,Tata Inst. of Fundamental Research,CDC,1,0.0,2018
Jagtap Pushpak,IISc Bangalore,CDC,3,0.0,2023
Shalabh Bhatnagar,IISc Bangalore,CDC,1,0.0,2018
Jagtap Pushpak,IISc Bangalore,CDC,1,0.0,2022
Jagtap Pushpak,IISc Bangalore,CDC,1,0.0,2021
Shalabh Bhatnagar,IISc Bangalore,CDC,3,0.0,2007
Ashish Choudhary,IIIT Bangalore,CDC,1,0.0,2003
Shalabh Bhatnagar,IISc Bangalore,CDC,1,0.0,2009
Shalabh Bhatnagar,IISc Bangalore,CDC,1,0.0,2023
Shalabh Bhatnagar,IISc Bangalore,CDC,1,0.0,2016
Shishir Kolathaya,IISc Bangalore,CDC,1,0.0,2023
Shivaram Kalyanakrishnan,IIT Bombay,CDC,1,0.0,2020
Jagtap Pushpak,IISc Bangalore,CDC,1,0.0,2020
Shalabh Bhatnagar,IISc Bangalore,CDC,1,0.0,2019
Shalabh Bhatnagar,IISc Bangalore,CDC,1,0.0,2004
Jagtap Pushpak,IISc Bangalore,CDC,1,0.0,2019
Kunal Korgaonkar,BITS Pilani-Goa,APPT,1,0.0,2011
R. Govindarajan,IISc Bangalore,ICS,1,0.0,2008
Uday Bondhugula,IISc Bangalore,ICS,1,0.0,2014
Arkaprava Basu,IISc Bangalore,ICS,1,0.0,2018
R. Govindarajan,IISc Bangalore,ICS,1,0.0,2012
R. Govindarajan,IISc Bangalore,ICS,1,0.0,2006
R. Govindarajan,IISc Bangalore,ICS,1,0.0,2005
Uday Bondhugula,IISc Bangalore,ICS,1,0.0,2019
Uday Bondhugula,IISc Bangalore,ICS,1,0.0,2021
Arkaprava Basu,IISc Bangalore,ICS,1,0.0,2011
Uday Bondhugula,IISc Bangalore,ICS,1,0.0,2008
R. Govindarajan,IISc Bangalore,International Conference on Supercomputing,1,0.0,1999
Sumit K. Mandal,IISc Bangalore,SLIP,1,0.0,2020
Madhav Rao,IIIT Bangalore,AIMLSystems,1,0.0,2022
Abir De,IIT Bombay,AIMLSystems,1,0.0,2021
Hemant Rathore,BITS Pilani-Goa,AIMLSystems,1,0.0,2022
Vinay J. Ribeiro,IIT Bombay,AIMLSystems,1,0.0,2021
Biswa,IIT Bombay,AIMLSystems,1,0.0,2021
G. N. Srinivasa Prasanna,IIIT Bangalore,AIMLSystems,1,0.0,2021
G. N. Srinivasa Prasanna,IIIT Bangalore,EuroIMSA,1,0.0,2005
Pushpak Bhattacharya,IIT Bombay,LaTeCH@ACL,1,0.0,2016
Aditya Kanade,IISc Bangalore,APCHI,1,0.0,2013
Goutam Paul 0001,ISI Kolkata,APCHI,2,0.0,2013
Abhiram G. Ranade,IIT Bombay,APCHI,1,0.0,2013
Virendra Singh,IIT Bombay,LATW,1,0.0,2011
Virendra Singh,IIT Bombay,LATS,3,0.0,2017
Virendra Singh,IIT Bombay,LATS,2,0.0,2023
Swagatam Das,ISI Kolkata,HAIS,2,0.0,2009
Mandar Mitra,ISI Kolkata,AICS,1,0.0,2020
Deepak D'Souza,IISc Bangalore,ESORICS,1,0.0,2012
Manoj M. Prabhakaran,IIT Bombay,ESORICS (1),1,0.0,2020
Chaya Ganesh,IISc Bangalore,DPM/CBT@ESORICS,1,0.0,2021
Manoj M. Prabhakaran,IIT Bombay,ESORICS,1,0.0,2009
Subhamoy Maitra,ISI Kolkata,IWDW,1,0.0,2004
Krithi Ramamritham,IIT Bombay,RTCSA,1,0.0,2013
Krithi Ramamritham,IIT Bombay,RTCSA,1,0.0,1999
Vinayak Naik,BITS Pilani-Goa,RTCSA,1,0.0,2005
Krithi Ramamritham,IIT Bombay,RTCSA,1,0.0,2006
Swagatam Das,ISI Kolkata,MENDEL,3,0.0,2015
Srinath Srinivasa,IIIT Bangalore,PAAMS,2,0.0,2023
Snehanshu Saha,BITS Pilani-Goa,PAAMS,1,0.0,2022
Amitabha Sanyal,IIT Bombay,COM.Geo,1,0.0,2011
Utpal Garain,ISI Kolkata,IALP,2,0.0,2014
Utpal Garain,ISI Kolkata,IALP,1,0.0,2012
Utpal Garain,ISI Kolkata,IALP,1,0.0,2017
U. Pal 0001,ISI Kolkata,ICPRAI,3,0.0,2020
U. Pal 0001,ISI Kolkata,ICPRAI (1),2,0.0,2022
Kunal Korgaonkar,BITS Pilani-Goa,MobiCASE,1,0.0,2015
Bhabatosh Chanda,ISI Kolkata,IITM,1,0.0,2010
Aditya Kanade,IISc Bangalore,WEBIST (1),1,0.0,2006
U. Pal 0001,ISI Kolkata,ANNPR,1,0.0,2014
Kamal Lodaya,IMSc,CLIMA,1,0.0,2010
Vinod Ganapathy,IISc Bangalore,MobiSys,1,0.0,2016
Sougata Sen,BITS Pilani-Goa,MobiSys (Companion Volume),2,0.0,2016
Bhaskaran Raman,IIT Bombay,MobiSys,1,0.0,2010
Vinayak Naik,BITS Pilani-Goa,MobiSys,1,0.0,2012
Bhaskaran Raman,IIT Bombay,MobiSys (Companion Volume),1,0.0,2016
Sougata Sen,BITS Pilani-Goa,WPA@MobiSys,1,0.0,2017
Vinayak Naik,BITS Pilani-Goa,MobiSys (Companion Volume),2,0.0,2016
Kameswari Chebrolu,IIT Bombay,MobiSys,1,0.0,2008
Bhaskaran Raman,IIT Bombay,MobiSys,1,0.0,2008
Vinod Ganapathy,IISc Bangalore,MobiSys,1,0.0,2011
Shalabh Bhatnagar,IISc Bangalore,ISGT,1,0.0,2024
Krishna Shankara Narayanan,IIT Bombay,WMC-CdeA,1,0.0,2002
Srinath Srinivasa,IIIT Bangalore,MEDES,1,0.0,2009
Krithi Ramamritham,IIT Bombay,MEDES,1,0.0,2009
Utpal Garain,ISI Kolkata,ICCCN,1,0.0,2010
Sridhar Iyer,IIT Bombay,ICCCN,1,0.0,2003
R. Govindarajan,IISc Bangalore,ICCCN,1,0.0,2009
Debabrata Das,IIIT Bangalore,ICCCN,1,0.0,2006
Tricha Anjali,IIIT Bangalore,ICCCN,2,0.0,2007
Arijit Ghosh,ISI Kolkata,ICCCN,1,0.0,2009
Devashish Gosain,BITS Pilani-Goa,ICCCN,1,0.0,2023
Sasthi C. Ghosh 0001,ISI Kolkata,ICCCN,1,0.0,2008
Ganesh Ramakrishnan,IIT Bombay,3DV,1,0.0,2019
Siddhartha Chaudhuri,IIT Bombay,3DV,2,0.0,2020
Siddhartha Chaudhuri,IIT Bombay,3DV,1,0.0,2018
Abhiram G. Ranade,IIT Bombay,Heinz Nixdorf Symposium,1,0.0,1992
Siddhartha Chaudhuri,IIT Bombay,Eurographics (Tutorials),1,0.0,2019
Goutam Paul 0001,ISI Kolkata,IAAI,1,0.0,2003
Shivaram Kalyanakrishnan,IIT Bombay,IAAI,1,0.0,2010
Krishnendu Mukhopadhyaya,ISI Kolkata,SSS,1,0.0,2023
Anisur Rahaman Molla,ISI Kolkata,SSS,1,0.0,2020
Krishnendu Mukhopadhyaya,ISI Kolkata,SSS,1,0.0,2013
Krishnendu Mukhopadhyaya,ISI Kolkata,SSS,1,0.0,2017
Pushpak Bhattacharya,IIT Bombay,BEA@NAACL-HLT,1,0.0,2018
Partha P. Talukdar,IISc Bangalore,BEA@NAACL-HLT,1,0.0,2012
Pushpak Bhattacharya,IIT Bombay,BEA@ACL,1,0.0,2020
Hariharan Narayanan,Tata Inst. of Fundamental Research,WiOpt,2,0.0,2016
Hariharan Narayanan,Tata Inst. of Fundamental Research,WiOpt,4,0.0,2022
Vinay J. Ribeiro,IIT Bombay,WiOpt,1,0.0,2009
Hariharan Narayanan,Tata Inst. of Fundamental Research,WiOpt,4,0.0,2017
Hariharan Narayanan,Tata Inst. of Fundamental Research,WiOpt,2,0.0,2020
Abhishek Sinha,Tata Inst. of Fundamental Research,WiOpt,1,0.0,2018
Hariharan Narayanan,Tata Inst. of Fundamental Research,WiOpt,1,0.0,2010
G. N. Srinivasa Prasanna,IIIT Bangalore,WiOpt,1,0.0,2015
Debabrata Das,IIIT Bangalore,WiOpt,1,0.0,2015
Hariharan Narayanan,Tata Inst. of Fundamental Research,WiOpt,1,0.0,2014
Hariharan Narayanan,Tata Inst. of Fundamental Research,WiOpt,2,0.0,2021
Abhishek Sinha,Tata Inst. of Fundamental Research,WiOpt,2,0.0,2019
Hariharan Narayanan,Tata Inst. of Fundamental Research,WiOpt,1,0.0,2023
Hariharan Narayanan,Tata Inst. of Fundamental Research,WiOpt,1,0.0,2019
Abhishek Sinha,Tata Inst. of Fundamental Research,WiOpt,1,0.0,2012
Vinayak Naik,BITS Pilani-Goa,WiOpt,1,0.0,2015
Hariharan Narayanan,Tata Inst. of Fundamental Research,WiOpt,3,0.0,2015
Vinay J. Ribeiro,IIT Bombay,WiOpt,1,0.0,2006
Hariharan Narayanan,Tata Inst. of Fundamental Research,WiOpt,1,0.0,2011
Hariharan Narayanan,Tata Inst. of Fundamental Research,WiOpt,1,0.0,2018
Shubhangi K. Gawali,BITS Pilani-Goa,IFIPIoT (1),1,0.0,2023
Neena Goveas,BITS Pilani-Goa,IFIPIoT (1),1,0.0,2023
Debrup Chakraborty,ISI Kolkata,CIARP,1,0.0,2009
G. N. Srinivasa Prasanna,IIIT Bangalore,ITCC (2),1,0.0,2005
Arijit Bishnu,ISI Kolkata,ITCC,1,0.0,2002
Umesh Bellur,IIT Bombay,ITCC (2),1,0.0,2005
Balaji Parthasarathy,IIIT Bangalore,ICT4D,1,0.0,2017
Janaki Srinivasan,IIIT Bangalore,ICT4D,1,0.0,2017
Utpal Garain,ISI Kolkata,ICARIS,1,0.0,2006
B. B. Amberker,National Institute of Technology Warangal,ITNG,3,0.0,2008
G. Sivakumar,IIT Bombay,ITNG,1,0.0,2009
Umesh Bellur,IIT Bombay,ITNG,1,0.0,2006
Amitabha Sanyal,IIT Bombay,ITNG,1,0.0,2007
Supratik Chakraborty,IIT Bombay,CACSD,1,0.0,2013
Srinath Srinivasa,IIIT Bangalore,PAISI,1,0.0,2010
Subhas C. Nandy,ISI Kolkata,ReTIS,1,0.0,2015
Ujjwal Bhattacharya,ISI Kolkata,ReTIS,1,0.0,2015
Ramprasad Joshi,BITS Pilani-Goa,RANLP,1,0.0,2023
Pushpak Bhattacharya,IIT Bombay,RANLP,1,0.0,2015
Pratik Narang,BITS Pilani,WACV,1,0.0,2021
Bhabatosh Chanda,ISI Kolkata,WACV,1,0.0,2012
Manish Gupta 0001,IIIT Bangalore,WACV,2,0.0,2021
Aditya Kanade,IISc Bangalore,WACV,2,0.0,2019
Sharat Chandran,IIT Bombay,WACV,1,0.0,2009
Ganesh Ramakrishnan,IIT Bombay,WACV,3,0.0,2019
Manish Gupta 0001,IIIT Bangalore,WACV,1,0.0,2023
Sharat Chandran,IIT Bombay,WACV,1,0.0,2016
Abhishek Sinha,Tata Inst. of Fundamental Research,WACV,1,0.0,2019
Sharat Chandran,IIT Bombay,WACV,1,0.0,2002
Ganesh Ramakrishnan,IIT Bombay,WACV,1,0.0,2021
Suyash P. Awate,IIT Bombay,WACV,1,0.0,2022
Kamlesh Tiwari,BITS Pilani,WACV,1,0.0,2022
Ajit Rajwade 0001,IIT Bombay,WACV,1,0.0,2023
Ganesh Ramakrishnan,IIT Bombay,WACV,1,0.0,2023
Abhishek Sinha,Tata Inst. of Fundamental Research,WACV,1,0.0,2020
Sharat Chandran,IIT Bombay,WACV,1,0.0,2015
Ajit Rajwade 0001,IIT Bombay,WACV,1,0.0,2020
Abhishek Sinha,Tata Inst. of Fundamental Research,AAAI,1,0.0,2024
Shirish K. Shevade,IISc Bangalore,AAAI,2,0.0,2020
Siddharth Barman,IISc Bangalore,AAAI,2,0.0,2023
Arindam Khan 0001,IISc Bangalore,AAAI,2,0.0,2023
Pushpak Bhattacharya,IIT Bombay,AAAI,2,0.0,2024
Partha P. Talukdar,IISc Bangalore,AAAI,1,0.0,2015
Aditya Kanade,IISc Bangalore,AAAI,2,0.0,2020
Vinod Ganapathy,IISc Bangalore,AAAI,1,0.0,2020
Supratik Chakraborty,IIT Bombay,AAAI Workshop: Beyond NP,1,0.0,2016
G. Sivakumar,IIT Bombay,AAAI,1,0.0,1988
Ganesh Ramakrishnan,IIT Bombay,AAAI,1,0.0,2021
Sunita Sarawagi,IIT Bombay,AAAI,1,0.0,2018
Meena Mahajan,IMSc,AAAI,1,0.0,2024
Partha P. Talukdar,IISc Bangalore,AAAI,1,0.0,2016
Aditya Kanade,IISc Bangalore,AAAI,1,0.0,2023
Siddharth Barman,IISc Bangalore,AAAI,3,0.0,2019
Pushpak Bhattacharya,IIT Bombay,AAAI,2,0.0,2015
Ashish Ghosh,ISI Kolkata,AAAI,1,0.0,2019
Aditya Kanade,IISc Bangalore,AAAI,1,0.0,2013
Aditya Kanade,IISc Bangalore,AAAI,4,0.0,2015
Shalabh Bhatnagar,IISc Bangalore,AAAI,1,0.0,2020
Aditya Kanade,IISc Bangalore,AAAI,1,0.0,2024
Aditya Kanade,IISc Bangalore,AAAI,3,0.0,2019
Shirish K. Shevade,IISc Bangalore,AAAI,1,0.0,2019
Pushpak Bhattacharya,IIT Bombay,AAAI,1,0.0,2021
Pratik Narang,BITS Pilani,AAAI,1,0.0,2023
Shivaram Kalyanakrishnan,IIT Bombay,AAAI,1,0.0,2020
Soumen Chakrabarti,IIT Bombay,AAAI,1,0.0,2023
Sunita Sarawagi,IIT Bombay,AAAI,1,0.0,2023
Soumen Chakrabarti,IIT Bombay,AAAI,1,0.0,2019
Ganesh Ramakrishnan,IIT Bombay,AAAI,1,0.0,2016
Sunita Sarawagi,IIT Bombay,AAAI,1,0.0,2016
Siddharth Barman,IISc Bangalore,AAAI,1,0.0,2024
Hariharan Narayanan,Tata Inst. of Fundamental Research,AAAI,1,0.0,2024
Siddharth Barman,IISc Bangalore,AAAI,2,0.0,2018
M. Narasimha Murty,IISc Bangalore,AAAI,1,0.0,2019
Manish Gupta 0001,IIIT Bangalore,AAAI,1,0.0,2024
Abir De,IIT Bombay,AAAI,2,0.0,2024
Abir De,IIT Bombay,AAAI,3,0.0,2021
Soumen Chakrabarti,IIT Bombay,AAAI,2,0.0,2021
Mandar Mitra,ISI Kolkata,AAAI Workshop: Scholarly Big Data,1,0.0,2016
Hariharan Narayanan,Tata Inst. of Fundamental Research,AAAI,1,0.0,2018
Siddharth Barman,IISc Bangalore,AAAI,2,0.0,2022
Arindam Khan 0001,IISc Bangalore,AAAI,1,0.0,2022
Kamal Lodaya,IMSc,AAAI,1,0.0,2010
Saket Saurabh 0001,IMSc,AAAI,1,0.0,2010
Pushpak Bhattacharya,IIT Bombay,AAAI,2,0.0,2017
Swagatam Das,ISI Kolkata,AAAI,1,0.0,2023
Saket Saurabh 0001,IMSc,AAAI,1,0.0,2023
Partha P. Talukdar,IISc Bangalore,AAAI,2,0.0,2019
Aditya Kanade,IISc Bangalore,AAAI,1,0.0,2014
Ashwin Srinivasan 0001,BITS Pilani-Goa,AAAI,1,0.0,2022
Amitabha Sanyal,IIT Bombay,AAAI,1,0.0,2017
Sourav Chakraborty 0001,ISI Kolkata,AAAI,1,0.0,2024
Partha P. Talukdar,IISc Bangalore,AAAI,3,0.0,2020
Ganesh Ramakrishnan,IIT Bombay,AAAI,1,0.0,2012
Swagatam Das,ISI Kolkata,AAAI,1,0.0,2021
Pratik Narang,BITS Pilani,AAAI,1,0.0,2024
Pushpak Bhattacharya,IIT Bombay,CONSTRAINT@AAAI,1,0.0,2021
Abir De,IIT Bombay,AAAI,1,0.0,2019
Supratik Chakraborty,IIT Bombay,AAAI,2,0.0,2024
Abir De,IIT Bombay,AAAI,2,0.0,2022
Sourav Chakraborty 0001,ISI Kolkata,AAAI,1,0.0,2019
Gugan Thoppe,IISc Bangalore,AAAI,1,0.0,2018
Gugan Thoppe,IISc Bangalore,AAAI,1,0.0,2020
Shivaram Kalyanakrishnan,IIT Bombay,AAAI,1,0.0,2016
Navneet Goyal,BITS Pilani,AAAI,2,0.0,2024
Pratik Narang,BITS Pilani,AAAI,2,0.0,2021
Amitabha Sanyal,IIT Bombay,AAAI,1,0.0,2012
Aditya Kanade,IISc Bangalore,AAAI,1,0.0,2012
Pushpak Bhattacharya,IIT Bombay,AAAI,1,0.0,2010
Aditya Kanade,IISc Bangalore,AAAI,1,0.0,2017
Shirish K. Shevade,IISc Bangalore,AAAI,1,0.0,2017
Manish Gupta 0001,IIIT Bangalore,AffCon@AAAI,1,0.0,2019
Soumen Chakrabarti,IIT Bombay,AAAI,1,0.0,2024
Aditya Kanade,IISc Bangalore,AAAI,1,0.0,2016
Aditya Kanade,IISc Bangalore,AAAI,2,0.0,2021
Saket Saurabh 0001,IMSc,AAAI,1,0.0,2012
Soumen Chakrabarti,IIT Bombay,AAAI,1,0.0,2018
Supratik Chakraborty,IIT Bombay,AAAI,1,0.0,2016
Ganesh Ramakrishnan,IIT Bombay,AAAI,1,0.0,2022
Ashwin Srinivasan 0001,BITS Pilani-Goa,AAAI,1,0.0,2024
Aditya Kanade,IISc Bangalore,AAAI,1,0.0,2018
Preethi Jyothi,IIT Bombay,AAAI,1,0.0,2015
Ganesh Ramakrishnan,IIT Bombay,AAAI,2,0.0,2018
Amitabha Sanyal,IIT Bombay,AAAI,1,0.0,2018
Pushpak Bhattacharya,IIT Bombay,AAAI,2,0.0,2016
Ganesh Ramakrishnan,IIT Bombay,AAAI,1,0.0,2017
Goutam Paul 0001,ISI Kolkata,AAAI,1,1.0,2004
S. Akshay 0001,IIT Bombay,AAAI,1,0.0,2024
Yashvardhan Sharma,BITS Pilani,CONSTRAINT@AAAI,1,0.0,2021
M. Narasimha Murty,IISc Bangalore,AAAI,1,0.0,2018
